PCardID,PName,Sex,Age
110101193412052028,李玉兰              ,False,86
110101194701201338,张继川              ,True,73
110101196306222947,周志颖              ,False,57
110101198304063574,谌祖安              ,True,37
11010119840210363X,赵月松              ,True,36
110101198605170453,邱丽绵              ,True,34
110101199001021574,张正勇              ,True,30
110101200004054254,马岳                ,True,20
110101200504220677,王连重              ,True,15
110101201105182137,李浩文              ,True,9
110102193109103597,毛鑫                ,True,89
110102193801262359,王小范              ,True,82
110102193811074116,谢爱勇              ,True,82
110102194707193435,朱明山              ,True,73
110102197003022332,胡冬松              ,True,50
110102197108130057,付强大              ,True,49
11010219900601111X,翁天洋              ,True,30
110102201307090958,张兆钢              ,True,7
110105193207134898,郑文坚              ,True,88
110105194502200071,邹巍                ,True,75
11010519470926382X,沈洁薇              ,False,73
110105196603110779,陈仁兴              ,True,54
110105199910133114,刘丹星              ,True,21
110105200604134974,侯保兵              ,True,14
110105201102282234,侯中先              ,True,9
11010520110602032X,莫梦莹              ,False,9
110105201301030152,卢川                ,True,7
110106193605112332,彭翼捷              ,True,84
110106193703042091,郑建华              ,True,83
110106194312312933,郭宇                ,True,77
110106194505111353,王晓辉              ,True,75
110106196203221812,刘珩                ,True,58
110106197107214019,董常志              ,True,49
110106197601202670,金志华              ,True,44
110106199812150857,郑利武              ,True,22
110106200707110744,胡晨霞              ,False,13
11010719540518269X,孙昊                ,True,66
110107198507240946,许爱平              ,False,35
110107201106291544,吴冬玲              ,False,9
110107201701082691,齐孙毅              ,True,3
110108195112173294,黄文忠              ,True,69
110108196809133131,刘书军              ,True,52
110108197504142111,王渊荣              ,True,45
110108201109211024,王慧                ,False,9
110108201709251695,鲁兵                ,True,3
110109194903161232,刘家佳              ,True,71
110109196508260440,冯琼玲              ,False,55
110109199408054811,刘海涛              ,True,26
11010919981004040X,于传香              ,False,22
110109201702130539,王建                ,True,3
110111195307274886,郑倩                ,False,67
110111196706302818,王明存              ,True,53
110111197501172022,游群芳              ,False,45
11011119880302269X,黄睿                ,True,32
110111200807240635,杜朝贵              ,True,12
110112193008052746,沈丹萍              ,False,90
110112193201260483,祁彩虹              ,False,88
110112194004122676,韩远迎              ,True,80
110112194507080930,王筱明              ,True,75
110112196407174445,吴晓茹              ,False,56
110112198604200031,李庆明              ,True,34
110112199008060022,喻文婷              ,False,30
110112199404200488,濮志平              ,False,26
11011219950121155X,盛建明              ,True,25
11011219970301102X,王维吉              ,False,23
110113194810303101,陆俐倩              ,False,72
110113195704053836,麦北其              ,True,63
110113196305312356,钟练文              ,True,57
110113196806081007,廖红兰              ,False,52
110113201112020051,程新                ,True,9
110114194702221295,王延海              ,True,73
110114194806141062,李桂红              ,False,72
110114194811232639,王金伟              ,True,72
110114195202010533,邓汉源              ,True,68
110114195202272656,郭亮                ,True,68
110114199510260452,邢进义              ,True,25
11011519490528310X,张亚敏              ,False,71
110115195207104594,柯三雄              ,True,68
110115196011121768,丁琳                ,False,60
110115196703063431,官勇                ,True,53
110115201501182057,金琪                ,True,5
110116194502121313,赖姝羽              ,True,75
110116194904192317,庄亚强              ,True,71
110116195404194847,肖巧玲              ,False,66
110116196903063088,邓兰珍              ,False,51
110116198201073635,陈灿桥              ,True,38
11011619880513219X,李春泉              ,True,32
11011619970630398X,孙元蕾              ,False,23
110116199803052238,梁成磊              ,True,22
110116199901233008,施润燕              ,False,21
110116200611161048,赵秋枫              ,False,14
110117193007143357,白晓林              ,True,90
110117195004292655,邱梦瑜              ,True,70
110117195712102162,钟永芳              ,False,63
110117197308084897,杨国才              ,True,47
110117199310304894,刘振东              ,True,27
110117199409114046,位娜                ,False,26
110117199710113800,阙建平              ,False,23
11011720100108033X,李泽盛              ,True,10
110118194001290197,谭青云              ,True,80
110118196411151711,吴俊清              ,True,56
110118200308211455,吴华伟              ,True,17
110118200707113828,衡永芳              ,False,13
110118201412113833,朱淑玉              ,True,6
110119193009013575,谭均强              ,True,90
110119199302132773,谢强                ,True,27
110119201309060549,闫凤莉              ,False,7
110119201602020204,王文英              ,False,4
120101193403014056,陈红玉              ,True,86
120101196104100898,范水才              ,True,59
12010119621124319X,杨左健              ,True,58
12010119670218477X,李梦晗              ,True,53
120101196809014818,舒小勇              ,True,52
120101197104244458,贺军文              ,True,49
12010119781113352X,李伟颖              ,False,42
120102193204082845,杨英                ,False,88
120102193406264903,薛红霞              ,False,86
120102193607183528,王杏梅              ,False,84
120102194206154712,戴程程              ,True,78
120102194705131822,郑风莲              ,False,73
120102195109042326,沈艳琼              ,False,69
120102195301143071,苏先义              ,True,67
120102195611181516,颜进                ,True,64
120102195707284245,彭汝珍              ,False,63
120102196705110932,吴茂林              ,True,53
120103194103272958,芦成林              ,True,79
120103194608033557,田先斌              ,True,74
120103196703142574,金吉强              ,True,53
120103196710011732,周聪跃              ,True,53
120103197311083688,黄静芬              ,False,47
12010319750521069X,何锡荣              ,True,45
120103197605312327,郭瑛                ,False,44
120103200406111156,付影                ,True,16
120103200412041457,史增树              ,True,16
120103200508071036,崔新                ,True,15
120104193306012170,马屹                ,True,87
120104193605263033,吕学跃              ,True,84
120104194903084652,徐超                ,True,71
120104196112223061,孟艳琴              ,False,59
120104196302044857,郭黎宾              ,True,57
120104197007310950,姚未                ,True,50
120104199608144117,水建国              ,True,24
12010419970623313X,陈红光              ,True,23
120104200307213153,沈燕文              ,True,17
120105193907162357,朱永生              ,True,81
120105194308073488,陈芳                ,False,77
120105194902280404,杨姚娟              ,False,71
12010519620422122X,肖美娴              ,False,58
120105196308231131,孙中永              ,True,57
120105196701183674,刘如华              ,True,53
120105196704141680,潘丹丹              ,False,53
120105198211241105,俞锦颖              ,False,38
12010519840227417X,张严辉              ,True,36
120105199910200200,姜朝莹              ,False,21
120105201201070837,黄国荣              ,True,8
120106194310274357,李庆斌              ,True,77
120106194901313442,陈金梅              ,False,71
120106196502284153,曹存波              ,True,55
120106197111182955,邱立彦              ,True,49
120106198301264729,伏虹瑾              ,False,37
120106200211011808,郭惠珍              ,False,18
120106201204022845,林爱梅              ,False,8
120106201707251009,王海静              ,False,3
120110193811212218,章兴潮              ,True,82
120110195611161945,王明瑶              ,False,64
120110196804113637,陈步元              ,True,52
120110196907303265,胡玉萍              ,False,51
120110198508011248,杜海燕              ,False,35
120110198709181032,王金生              ,True,33
12011019890828443X,田东晗              ,True,31
120110201205261228,邓亚红              ,False,8
120111194903180728,王容                ,False,71
120111198611274536,俞金养              ,True,34
120111199412091264,林婉静              ,False,26
120111201509274972,丁光                ,True,5
120112196904073575,郑胜飞              ,True,51
120112197009101765,叶春娟              ,False,50
120112197705240734,蒙谦                ,True,43
120112198404270088,李雅芳              ,False,36
120112198907310539,陈稳当              ,True,31
120112199212163338,綦晓伟              ,True,28
120112200310054253,任向宇              ,True,17
120112200812314203,黄方莹              ,False,12
120112201104052219,陈培森              ,True,9
120113193404163956,韩振元              ,True,86
120113194012212565,熊秋萍              ,False,80
120113194708210795,李泽宇              ,True,73
120113197503154148,张世萍              ,False,45
120113197902111233,王海鸣              ,True,41
120113200010220543,唐继蓉              ,False,20
12011320001226059X,顾炎                ,True,20
120113201011192577,杜传义              ,True,10
120114194203084013,成蔚然              ,True,78
120114196910204351,薛少飞              ,True,51
120114197112183992,刘笑远              ,True,49
120114197804280312,邱成                ,True,42
120114199508173044,赵正兰              ,False,25
120114200809123695,宋守刚              ,True,12
120114201506243571,盛天文              ,True,5
120115194008291654,林斌                ,True,80
120115197104180237,徐少华              ,True,49
120115197201261338,齐志                ,True,48
120115197612053154,莫月能              ,True,44
120115198907091937,陈佳                ,True,31
120115199707261553,吉小峰              ,True,23
120116193407061321,徐芸                ,False,86
120116193612161962,陈叶平              ,False,84
120116193905220188,侯水蓉              ,False,81
120116194211073851,叶剑盛              ,True,78
120116194703173453,王兴叠              ,True,73
120116195402010057,陈潇                ,True,66
120116195505171873,李丁丁              ,True,65
120116196602134155,励东                ,True,54
120116197103261533,简立坚              ,True,49
12011619891102133X,王相庆              ,True,31
120117193305220260,程媛媛              ,False,87
120117194003033122,徐燕婷              ,False,80
120117194503252567,丁萍                ,False,75
120117196305280363,赵艳丽              ,False,57
120117198403024135,丁兴华              ,True,36
120117200312261397,袁俊峰              ,True,17
12011720040224219X,王清                ,True,16
120117200710184710,周辉文              ,True,13
120117200907201131,李澍田              ,True,11
120118194202152622,沈蕾                ,False,78
120118194605253444,连迎青              ,False,74
120118195012064378,郑昊宇              ,True,70
120118197902020413,陈镜棠              ,True,41
120118199903013521,练媛媛              ,False,21
120118200503023267,周献玲              ,False,15
120118200503242179,范泰申              ,True,15
120118200901132725,张仲莲              ,False,11
120119195007051165,龚德慧              ,False,70
120119196006223062,赵佳苗              ,False,60
120119199211184051,邓翔云              ,True,28
120119200107151087,徐小琳              ,False,19
120119201505284701,张佳慧              ,False,5
130102193504202185,潘静                ,False,85
130102194508200042,范晨燕              ,False,75
130102194903274578,张剑华              ,True,71
130102195305261026,王秀平              ,False,67
130102196506194354,江海                ,True,55
130102198812263599,代振                ,True,32
130102199510220539,朱鲁明              ,True,25
13010220070615353X,盖亮                ,True,13
130102201206201157,陆宇德              ,True,8
130104193908114272,蒋先海              ,True,81
130104196812302774,胡明礼              ,True,52
130104199209300911,王育军              ,True,28
130104201705314191,刘宏奏              ,True,3
130105193701062643,代怡                ,False,83
130105193703143084,颜晶莹              ,False,83
130105194411103923,廖晓丽              ,False,76
130105195303231295,张晏铭              ,True,67
130105196306161530,芦国华              ,True,57
130105197404122556,陆云卿              ,True,46
130105198602054827,刘伶俐              ,False,34
130105199205141534,丁阳东              ,True,28
130105199906302839,谢依然              ,True,21
130105200507060110,窦鹏                ,True,15
130105200908052250,李宗安              ,True,11
130105201011250222,魏国勤              ,False,10
13010719301113063X,陈云峰              ,True,90
130107193312130975,赖春圃              ,True,87
130107193401103637,吴亚俊              ,True,86
130107196802171829,韦芬                ,False,52
130107198611100314,慕利军              ,True,34
130107199510134237,陈永智              ,True,25
130107199511242758,龚勋                ,True,25
130107200202154020,萧玉兰              ,False,18
130107200709143507,刘桂珍              ,False,13
130107200811161672,刘挺                ,True,12
130107201102112784,王珊珊              ,False,9
130107201106164856,胡明琪              ,True,9
130107201507231095,梁清清              ,True,5
130107201603032651,朱俊贤              ,True,4
130108194009174052,刘美松              ,True,80
130108194212300851,孙延鹏              ,True,78
130108194808233039,张丽云              ,True,72
130108195208050479,薛皓                ,True,68
13010819570210468X,黄惠芳              ,False,63
130108197505314927,祝琳                ,False,45
130108197901140383,李英晓              ,False,41
130108197908222672,吴德杰              ,True,41
13010819821223416X,王慧慧              ,False,38
130108200801194936,魏志龙              ,True,12
130108201104273318,刘蕊全              ,True,9
130109194102054537,孙忠凯              ,True,79
130109194811184502,伏玉芳              ,False,72
130109195209223817,廖怀均              ,True,68
130109195407281620,龚媛媛              ,False,66
130109195712261861,陆志芳              ,False,63
130109196309063472,丁伯生              ,True,57
13010919671027273X,吴佳                ,True,53
130109197606274318,李奕                ,True,44
130109197702010283,方丽艳              ,False,43
130109197905313049,吴绪英              ,False,41
130109198302130707,杨丽                ,False,37
130109198509160831,冯周利              ,True,35
130109201006233853,杨兆友              ,True,10
130110193409101036,邱凉凉              ,True,86
130110193601113715,朱晓峻              ,True,84
130110195105102047,冯晓玲              ,False,69
130110195505072473,周可                ,True,65
130110197601090590,何如月              ,True,44
130110199009150549,胡莎莉              ,False,30
130110200210130756,徐兆梁              ,True,18
130111196002042273,刘路                ,True,60
