RID,PCardID,TID,SStationID,AStationID,CarrigeID,SeatRow,SeatNo,SStatus
1,110101193412052028,38006,2097,409,4,3,F,0
2,110101194701201338,23294,3797,1699,1,2,F,2
3,110101196306222947,16928,80,13,2,2,E,0
4,110101198304063574,34,1620,1621,1,4,E,0
5,11010119840210363X,28872,2020,3365,3,3,E,0
6,110101198605170453,21367,1552,1561,4,3,E,0
7,110101199001021574,12462,1592,1577,4,1,E,1
8,110101200004054254,37313,3568,3570,4,1,A,2
9,110101200504220677,6249,1542,1535,4,4,C,0
10,110101201105182137,30104,1597,600,4,3,F,2
11,110102193109103597,31034,1597,1151,4,2,B,2
12,110102193801262359,1570,1646,1646,4,2,B,2
13,110102193811074116,38832,3415,3415,1,4,E,2
14,110102194707193435,13818,1597,1555,2,1,E,0
15,110102197003022332,39575,979,129,3,4,B,2
16,110102197108130057,31563,1584,1582,1,4,B,0
17,11010219900601111X,24310,1668,404,2,3,E,1
18,110102201307090958,724,1612,1596,1,2,E,1
19,110105193207134898,7528,2020,34,2,3,F,0
20,110105194502200071,31132,3920,3920,4,1,A,2
21,11010519470926382X,16095,1568,1568,4,2,F,2
22,110105196603110779,11506,80,76,1,2,F,1
23,110105199910133114,38368,1573,1573,1,4,F,2
24,110105200604134974,22858,29,29,2,3,E,2
25,110105201102282234,12140,1574,1661,3,1,F,0
26,11010520110602032X,33228,3367,2033,4,4,C,0
27,110105201301030152,28212,1597,1750,3,1,B,0
28,110106193605112332,20696,34,2020,2,4,E,1
29,110106193703042091,9351,3365,2020,4,4,A,2
30,110106194312312933,37562,1133,834,2,4,F,0
31,110106194505111353,39017,1145,1126,1,4,B,0
32,110106196203221812,38953,1585,1034,4,3,C,1
33,110106197107214019,28324,1072,1146,2,4,B,2
34,110106197601202670,38187,1640,1572,3,1,A,0
35,110106199812150857,34522,1,1,1,1,B,2
36,110106200707110744,4798,1615,2020,3,4,E,1
37,11010719540518269X,23699,2047,34,1,1,E,1
38,110107198507240946,36937,403,1615,2,2,E,1
39,110107201106291544,10174,1599,1615,4,2,F,2
40,110107201701082691,1335,1655,1646,2,3,B,2
41,110108195112173294,35695,1139,2013,3,3,E,2
42,110108196809133131,2651,1535,1536,3,3,E,1
43,110108197504142111,16677,1589,1638,1,3,B,1
44,110108201109211024,26406,1668,1597,4,4,E,2
45,110108201709251695,13454,1592,1577,1,2,F,2
46,110109194903161232,23304,129,1668,2,4,E,0
47,110109196508260440,4147,3978,3932,2,3,F,1
48,110109199408054811,29173,129,1151,4,4,B,1
49,11010919981004040X,5822,2060,2044,1,2,E,1
50,110109201702130539,8261,2020,2035,1,3,F,1
51,110111195307274886,22863,32,49,2,2,E,0
52,110111196706302818,30910,3909,3896,1,2,B,1
53,110111197501172022,31868,1579,1579,1,2,B,2
54,11011119880302269X,10386,1634,1634,2,4,B,2
55,110111200807240635,38430,32,2043,2,2,B,0
